Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1991","1991","7021","Valeur annuel","USD","1337.4","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1992","1992","7021","Valeur annuel","USD","1374.1","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1993","1993","7021","Valeur annuel","USD","1393.6","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1994","1994","7021","Valeur annuel","USD","1481.4","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1995","1995","7021","Valeur annuel","USD","1561.3","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1996","1996","7021","Valeur annuel","USD","1366.7","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1997","1997","7021","Valeur annuel","USD","1462","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1998","1998","7021","Valeur annuel","USD","1297.1","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1999","1999","7021","Valeur annuel","USD","1035.5","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2000","2000","7021","Valeur annuel","USD","955.3","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2001","2001","7021","Valeur annuel","USD","875.4","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2002","2002","7021","Valeur annuel","USD","842","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2003","2003","7021","Valeur annuel","USD","1205.8","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2004","2004","7021","Valeur annuel","USD","1413.1","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2005","2005","7021","Valeur annuel","USD","1431.7","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2006","2006","7021","Valeur annuel","USD","1439","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2007","2007","7021","Valeur annuel","USD","1566","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2008","2008","7021","Valeur annuel","USD","1448.3","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2009","2009","7021","Valeur annuel","USD","1597.1","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2010","2010","7021","Valeur annuel","USD","1810.1","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2011","2011","7021","Valeur annuel","USD","1896.1","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2012","2012","7021","Valeur annuel","USD","1931.3","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","7021","Valeur annuel","USD","1733.6","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2014","2014","7021","Valeur annuel","USD","1485","Fc","Donnée calculée"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2015","2015","7021","Valeur annuel","USD","1370.7","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1998","1998","7021","Valeur annuel","USD","1173","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1999","1999","7021","Valeur annuel","USD","1365.2","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2000","2000","7021","Valeur annuel","USD","1308","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2001","2001","7021","Valeur annuel","USD","1378.2","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2002","2002","7021","Valeur annuel","USD","1496.7","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2003","2003","7021","Valeur annuel","USD","1795.4","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2004","2004","7021","Valeur annuel","USD","2136.1","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2005","2005","7021","Valeur annuel","USD","2040.2","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2006","2006","7021","Valeur annuel","USD","2077","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2007","2007","7021","Valeur annuel","USD","2220","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2008","2008","7021","Valeur annuel","USD","2392.9","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2009","2009","7021","Valeur annuel","USD","2852.8","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2010","2010","7021","Valeur annuel","USD","2645.6","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2011","2011","7021","Valeur annuel","USD","2518.8","Fc","Donnée calculée"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2012","2012","7021","Valeur annuel","USD","3169.8","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","7021","Valeur annuel","USD","3605.6","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2014","2014","7021","Valeur annuel","USD","4296.3","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2015","2015","7021","Valeur annuel","USD","2745.7","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2016","2016","7021","Valeur annuel","USD","2412.3","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","2469.7","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2829.8","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2019","2019","7021","Valeur annuel","USD","2755.2","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2002","2002","7021","Valeur annuel","USD","1306.7","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2003","2003","7021","Valeur annuel","USD","1689","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2004","2004","7021","Valeur annuel","USD","1676.9","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2005","2005","7021","Valeur annuel","USD","1887.6","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2006","2006","7021","Valeur annuel","USD","1893.6","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2007","2007","7021","Valeur annuel","USD","2083.9","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2008","2008","7021","Valeur annuel","USD","2553.6","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2009","2009","7021","Valeur annuel","USD","2479.4","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2010","2010","7021","Valeur annuel","USD","2104.4","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2011","2011","7021","Valeur annuel","USD","2469.1","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2012","2012","7021","Valeur annuel","USD","2745.5","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","7021","Valeur annuel","USD","2376.7","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2014","2014","7021","Valeur annuel","USD","2350.4","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2015","2015","7021","Valeur annuel","USD","1993.8","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2016","2016","7021","Valeur annuel","USD","1730.5","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","1652.1","Fc","Donnée calculée"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1991","1991","7021","Valeur annuel","USD","962.7","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1992","1992","7021","Valeur annuel","USD","1003.8","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1993","1993","7021","Valeur annuel","USD","911.9","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1994","1994","7021","Valeur annuel","USD","922.9","","Donnée officielle"
