Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2015","2015","g/personne/jour","1.88","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2018","2018","g/personne/jour","1.51","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2015","2015","g/personne/jour","1.84","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2018","2018","g/personne/jour","1.68","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de porcins","2015","2015","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de porcins","2018","2018","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2015","2015","g/personne/jour","0.74","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2018","2018","g/personne/jour","0.51","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2015","2015","g/personne/jour","0.17","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2018","2018","g/personne/jour","0.14","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2015","2015","g/personne/jour","0.76","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2018","2018","g/personne/jour","0.7","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2740","Beurre, Ghee","2015","2015","g/personne/jour","0.03","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2740","Beurre, Ghee","2018","2018","g/personne/jour","0.03","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2743","Crème","2015","2015","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2743","Crème","2018","2018","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2737","Graisses Animales Crue","2015","2015","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2737","Graisses Animales Crue","2018","2018","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2744","Oeufs","2015","2015","g/personne/jour","0.51","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2744","Oeufs","2018","2018","g/personne/jour","0.45","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2848","Lait - Excl Beurre","2015","2015","g/personne/jour","6.09","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2848","Lait - Excl Beurre","2018","2018","g/personne/jour","5.68","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2761","Poissons Eau Douce","2015","2015","g/personne/jour","0.06","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2761","Poissons Eau Douce","2018","2018","g/personne/jour","0.07","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2015","2015","g/personne/jour","7.51","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2018","2018","g/personne/jour","6.74","Fc","Donnée calculée"
