,Zone,croissance_pop2015_2018,taux_proteine_animal,kilogramme_proteine_par_habitant_par_an,millions_de_kcal_par_habitant_par_an
0,Afghanistan,7.4195631120198,0.19441441441441448,20.2575,1.48847
1,Afrique du Sud,4.164864256916927,0.4271660542846984,30.795049999999996,2.130505
2,Albanie,-0.2774887270204648,0.5337598340105474,42.219550000000005,2.424695
3,Algérie,5.920242493132519,0.26922239163580913,33.514300000000034,2.444405
4,Allemagne,1.6084404022905539,0.6089396100808371,38.37975,2.599165
5,Angola,9.49691658552418,0.30744580584354403,19.363249999999997,1.737035
6,Antigua-et-Barbuda,2.083333333333333,0.6474784132148668,29.16715,1.768425
7,Arabie saoudite,5.889683410972317,0.3767548906789413,31.718500000000002,2.407175
8,Argentine,2.8989427650413653,0.6468384074941451,38.96375,2.413745
9,Arménie,0.8807588075880758,0.48048780487804893,34.419500000000006,2.220295
10,Australie,3.875813318338822,0.6679263108171942,38.63524999999999,2.47616
11,Autriche,2.3844336969969633,0.6035763411279228,39.803250000000006,2.68421
12,Azerbaïdjan,3.2864321608040203,0.3445645263827082,34.44869999999999,2.275045
13,Bahamas,3.1088082901554404,0.6505276225946618,29.40075,1.92063
14,Bangladesh,3.173314660701339,0.2071181413741967,22.151849999999996,1.85566
15,Barbade,0.6968641114982579,0.572679313054215,32.51785,2.154595
16,Bélarus,0.1481011319157939,0.5678085916258837,33.56174999999999,2.355345
17,Belgique,1.6896011147883645,0.5876392093909903,36.37954999999999,2.76159
18,Belize,5.7441253263707575,0.4291881353571926,26.210649999999994,1.99071
19,Bénin,7.914671310404876,0.19490465770553306,23.352700000000006,1.999835
20,Bolivie (État plurinational de),4.254382101647142,0.48428961748633875,26.718,1.748715
21,Bosnie-Herzégovine,-3.15884476534296,0.37464531820024327,36.01820000000001,2.396955
22,Botswana,5.900621118012422,0.4268943436499468,23.940350000000006,1.7228
23,Brésil,2.3855558579073755,0.5619903826050596,34.91590000000001,2.391115
24,Bulgarie,-2.098695405558707,0.5048730598002646,30.335150000000006,2.047285
25,Burkina Faso,8.303377044200294,0.14242915990513044,29.240149999999993,2.0002
26,Cabo Verde,3.4926470588235294,0.3672547635850388,25.860250000000008,1.842155
27,Cambodge,4.486153846153846,0.2882923870185017,24.068099999999998,1.816605
28,Cameroun,7.6062817258883255,0.1567672833495618,26.239849999999993,1.98633
29,Canada,2.8267026298044504,0.5434865900383142,38.106000000000016,2.548795
30,Chili,4.057878156869027,0.5416029700808039,33.42670000000001,2.192555
31,Chine,1.4516458381584485,0.40291596887006215,37.05114999999999,2.334905
32,Chypre,2.3549201009251473,0.4978704815987767,33.42305000000001,2.21409
33,Colombie,4.3092164877871975,0.511934156378601,26.608500000000003,2.220295
34,Congo,7.398932112890923,0.4561009332872452,21.1189,1.670605
35,Costa Rica,3.020604120824165,0.5578743023537978,30.08329999999999,2.16153
36,Côte d'Ivoire,7.35170928238063,0.24795829713292783,21.00575,2.02064
37,Croatie,-1.85274302213667,0.6157586473643497,33.02884999999999,2.23234
38,Cuba,0.11465866995942846,0.40586710650329855,30.981199999999994,2.44331
39,Danemark,1.0952712100139084,0.6813947525852492,42.708650000000006,2.459735
40,Djibouti,4.692387904066736,0.21401312776675324,23.911149999999992,1.95567
41,Dominique,1.3888888888888888,0.5554852587624953,28.84594999999999,2.17686
42,Égypte,6.076769893521905,0.2707970048210073,35.58384999999999,2.43455
43,El Salvador,1.4950942220837875,0.3500650195058516,28.068500000000007,1.9272
44,Émirats arabes unis,3.82099470459973,0.45813657827824183,40.193799999999996,2.454625
45,Équateur,5.104191055958792,0.4661813770094025,24.068099999999994,1.909315
46,Espagne,0.04497462146360268,0.6218659707335258,39.16085,2.37907
47,Estonie,0.6046863189720333,0.6221947508558389,38.3834,2.34184
48,Eswatini,2.8169014084507045,0.2822711096732448,22.564299999999992,1.751635
49,États-Unis d'Amérique,1.900970968767579,0.6468568409931325,41.456700000000005,2.74042
50,Éthiopie,7.680546400058595,0.09889944218302435,24.210449999999994,1.68411
51,Fédération de Russie,0.5139500734214391,0.5482694014397003,37.01465,2.44331
52,Fidji,1.5855039637599093,0.400197072072072,25.9296,2.02721
53,Finlande,0.7604562737642585,0.6393456518053908,43.06269999999999,2.43455
54,France,0.8590936935052517,0.5957840236686389,39.4784,2.55135
55,Gabon,8.069844266163283,0.47346421785940473,28.81675,1.964065
56,Gambie,8.508771929824562,0.2564533374064456,23.896549999999987,1.85274
57,Géorgie,-0.5246065450911817,0.4070600494985021,28.021050000000002,2.06371
58,Ghana,6.443376893875769,0.24951267056530213,22.469399999999993,2.17248
59,Grèce,-1.3115377304694924,0.5558023320377568,39.4419,2.474335
60,Grenade,0.9009009009009009,0.5668396689577778,26.020850000000003,1.745065
61,Guatemala,5.774582560296846,0.31529309344167133,25.15580000000002,1.843615
62,Guinée,7.910423715160303,0.19818720585671962,20.940050000000003,1.99144
63,Guinée-Bissau,7.310565635005337,0.21304649548924365,15.778949999999996,1.60819
64,Guyana,1.540436456996149,0.412351985140469,31.441099999999995,2.10021
65,Haïti,3.838892385147892,0.21339249697458643,18.096700000000006,1.55563
66,Honduras,4.954109303295787,0.349244232299125,22.940250000000002,1.92866
67,Hongrie,-0.7314309261357783,0.572530174340635,32.66020000000001,2.3871
68,Îles Salomon,7.656967840735068,0.2892904197252023,19.392449999999997,1.74689
69,Inde,3.141259845546715,0.23693764798737174,23.122750000000003,1.820255
70,Indonésie,3.469931370974069,0.32352941176470595,24.571800000000007,2.07831
71,Iran (République islamique d'),4.0440097799511,0.28848173649200615,31.27685000000001,2.25351
72,Iraq,7.444259062642196,0.22245956667683844,23.922100000000007,1.875005
73,Irlande,3.4654492633326415,0.6130268199233718,42.86925000000001,2.775095
74,Islande,2.0771513353115725,0.7166848716548333,53.4652,2.63165
75,Israël,4.819852063946552,0.5889449613625615,46.28930000000001,2.56814
76,Italie,0.08082207597275141,0.5347985347985349,38.86155,2.54843
77,Jamaïque,1.4991482112436116,0.4863762011320256,27.729049999999987,2.01699
